Hotel establishments. Travellers. By origin
Catalonia. 
Value
Units: Thousands.
"Source: Idescat, based on the INE's Hotel Occupancy Survey."
"(1) Asturias, Cantabria, Castile and Leon, Galicia, La Rioja and Navarra."
"(2) Canary Is, Castile-La Mancha, Extremadura, Murcia and Ceuta and Melilla."
"(3) Denmark, Finland, Norway and Sweden."
(4) Rest EU: the data after July 2013 includes Croatia.
 
Note: Definitive data from January 2011 to May 2018.
(p) Provisional data
Institut d'Estadística de Catalunya
https://www.idescat.cat/indicadors/?id=conj&n=10288&col=1&lang=en
,Total travellers,Domestic tourism,Andalusia,Aragon,Balearic Is,Catalonia,Valencia,Madrid,Basque Country,rest AACC North (1),rest AACC South (2),Foreign tourism,Germany,Belgium,France,Ireland,Italy,Netherlands,Nordic countries (3),Portugal,United Kingdom,Rest EU(4),Russia,Switzerland,Rest of Europe,Japan,United States,Rest of America,Rest of the world
08/2013,2187.0,754.0,30.3,34.5,7.0,463.1,41.1,60.8,37.4,52.0,27.7,1433.0,118.9,48.4,336.5,12.7,84.5,54.1,45.6,14.7,160.3,70.1,166.2,19.2,44.1,18.8,67.8,58.6,37.8
07/2013,1991.1,632.4,29.4,31.2,9.2,356.0,33.8,60.7,30.9,52.8,28.5,1358.7,134.6,60.5,183.9,14.4,54.9,66.4,79.3,13.0,145.7,75.4,160.9,29.8,53.0,15.1,92.8,75.5,34.0
06/2013,1750.5,622.4,26.9,23.4,9.3,360.3,33.7,60.7,32.6,48.8,26.7,1128.1,92.4,31.6,158.1,13.1,50.2,42.4,52.5,13.0,150.2,57.5,148.8,22.0,43.7,15.0,88.6,57.3,32.7
05/2013,1603.8,519.1,24.2,15.4,8.8,301.4,28.3,59.6,22.5,36.9,22.0,1084.7,93.9,28.5,238.3,14.2,43.8,46.2,53.6,10.9,148.8,55.7,71.5,20.6,31.6,12.2,76.6,58.7,27.7
04/2013,1236.0,412.5,22.4,14.9,8.4,204.5,27.1,50.8,26.3,35.2,23.0,823.5,61.1,25.2,196.1,8.5,60.4,34.1,45.2,11.1,87.2,45.8,32.0,21.7,31.4,11.0,50.9,40.0,20.1
03/2013,1139.1,534.1,26.1,13.7,8.4,286.6,35.0,57.4,34.2,39.8,33.0,605.0,52.5,15.4,100.9,7.9,54.1,17.2,31.4,11.8,71.5,32.6,21.1,15.7,23.8,18.6,38.0,33.9,58.6
02/2013,757.7,339.9,15.8,9.9,7.4,187.3,21.6,41.8,15.5,25.7,14.8,417.8,31.7,11.1,65.4,5.2,30.4,14.9,22.5,10.0,47.0,23.7,12.6,8.8,17.6,18.3,23.4,24.5,50.5
01/2013,637.2,300.9,16.6,8.2,6.2,157.1,20.1,39.3,12.3,23.5,17.6,336.3,22.8,6.8,60.3,2.8,28.7,11.0,15.2,7.6,31.6,16.2,14.3,6.9,17.2,10.5,16.5,25.4,42.6
12/2012,773.4,390.5,15.3,10.0,10.2,229.3,25.3,42.6,14.6,25.9,17.3,382.9,22.7,9.4,87.4,2.9,39.0,11.6,15.6,8.3,29.9,16.2,12.8,8.7,18.1,11.9,23.2,22.6,42.6
11/2012,867.2,367.0,19.4,10.8,9.4,191.0,25.3,46.5,15.7,29.9,19.1,500.1,32.4,9.9,101.6,5.6,38.3,16.6,25.9,10.4,53.3,25.9,18.2,9.1,21.7,14.2,38.5,31.1,47.4
10/2012,1366.5,504.6,21.9,14.1,8.3,281.5,37.6,53.0,26.8,36.8,24.6,861.9,74.2,23.5,135.3,11.9,45.0,40.6,47.1,11.0,121.5,42.9,37.8,23.0,30.6,15.4,70.0,51.7,80.5
09/2012,1727.9,567.1,29.0,22.6,8.5,328.9,32.9,49.0,26.3,46.5,23.3,1160.8,92.3,38.5,166.8,17.2,53.0,46.6,50.2,13.8,167.0,79.0,132.6,24.2,34.1,17.0,82.5,66.7,79.3
08/2012,2096.9,752.1,30.1,30.3,7.9,448.1,41.8,63.2,40.4,58.0,32.3,1344.7,99.0,46.1,303.5,16.9,94.3,57.4,39.4,15.4,164.0,74.6,153.2,18.8,42.0,15.2,64.6,61.2,79.2
07/2012,2048.1,691.5,38.1,32.7,9.1,375.4,40.8,65.3,39.1,59.3,31.7,1356.6,117.0,69.7,192.6,16.2,61.1,77.4,68.1,12.7,157.2,79.9,153.7,29.3,38.6,13.6,93.9,82.7,93.0
06/2012,1716.8,629.7,26.3,28.9,7.8,366.0,35.9,57.6,32.6,49.2,25.5,1087.1,95.2,30.6,139.5,16.2,59.2,44.8,45.1,15.7,145.6,70.0,125.8,19.8,35.5,15.3,86.9,64.9,77.0
05/2012,1549.8,558.8,27.1,17.9,7.8,322.0,32.0,56.7,27.7,43.3,24.3,991.0,89.8,27.3,194.9,13.5,48.4,46.3,42.9,12.6,127.9,59.3,65.8,18.1,33.4,14.9,71.7,62.9,61.2
04/2012,1455.1,584.1,34.6,20.1,9.2,316.4,33.6,56.2,40.1,48.1,25.7,871.1,62.4,24.0,193.5,9.9,75.6,33.9,43.3,12.9,91.3,55.2,23.7,25.2,29.5,15.0,60.3,53.8,61.4
03/2012,1085.3,503.0,28.9,15.3,10.6,247.2,38.3,62.6,25.0,46.6,28.6,582.2,50.1,15.4,90.8,7.5,55.2,20.3,28.8,12.7,60.7,34.8,17.9,12.6,23.5,16.2,41.6,42.7,51.6
02/2012,846.7,399.4,21.6,10.7,9.3,206.4,27.3,52.1,22.0,31.0,19.1,447.3,33.1,13.1,80.3,6.3,36.8,16.5,23.8,9.3,48.8,23.2,9.9,8.7,18.7,15.2,28.7,30.8,43.9
01/2012,703.2,349.7,22.3,9.9,8.6,174.7,22.5,45.2,20.2,29.5,16.9,353.5,22.4,7.9,57.3,4.2,44.6,15.3,11.8,8.1,30.0,19.0,12.2,6.6,15.0,11.2,17.7,30.3,40.0
12/2011,802.2,401.3,18.9,10.2,9.8,232.3,24.8,44.9,15.8,26.5,18.2,400.9,23.0,7.7,87.6,4.0,47.2,13.1,14.3,8.9,32.9,21.8,9.9,9.6,19.3,13.1,21.6,26.8,40.4
11/2011,865.5,391.0,21.4,11.4,9.8,195.7,27.7,52.6,19.3,32.0,21.2,474.5,35.1,10.6,89.6,5.5,38.6,16.5,25.8,10.0,44.6,27.2,11.8,9.4,24.6,13.4,37.6,30.3,44.0
10/2011,1468.7,564.3,30.6,15.9,11.3,312.0,33.7,65.3,25.6,42.6,27.3,904.5,83.5,23.5,180.0,13.3,59.1,38.0,51.3,12.9,101.4,49.3,25.8,26.1,30.7,17.0,67.1,64.6,60.8
09/2011,1713.9,621.4,32.6,24.4,9.0,336.7,34.4,67.4,28.6,60.5,27.7,1092.5,94.3,41.2,149.7,16.2,67.7,49.4,41.2,14.0,130.0,73.6,97.0,24.3,51.9,15.3,74.2,74.8,77.5
08/2011,2170.4,831.5,35.3,42.0,9.0,461.8,56.2,78.3,47.3,64.2,37.4,1338.9,113.1,46.5,287.0,17.9,130.5,67.1,36.1,22.1,136.3,73.5,114.6,21.6,47.3,15.1,70.6,68.7,71.0
07/2011,2108.2,755.9,39.9,34.8,10.1,382.1,48.4,92.5,39.3,70.0,38.8,1352.3,119.4,70.7,209.5,16.5,76.8,82.1,65.8,17.7,136.1,83.9,109.7,34.5,40.6,13.1,98.2,85.7,92.0
